example_id                                       | status | run_time              |
./spec/system/users_spec.rb[1:1:3:1:3]           | passed | 0.29017 seconds       |
./spec/system/users_spec.rb[1:1:3:1:4]           | passed | 0.28065 seconds       |
./spec/system/users_spec.rb[1:1:3:1:5]           | passed | 0.27299 seconds       |
./spec/system/users_spec.rb[1:1:3:1:6]           | passed | 0.36163 seconds       |
./spec/system/users_spec.rb[1:1:3:1:7:1]         | passed | 5.07 seconds          |
./spec/system/users_spec.rb[1:1:3:1:8:1]         | passed | 0.77365 seconds       |
./spec/system/users_spec.rb[1:1:3:1:8:2]         | passed | 5.74 seconds          |
./spec/system/users_spec.rb[1:1:3:1:9]           | passed | 0.51681 seconds       |
./spec/system/users_spec.rb[1:1:3:2:1:1]         | passed | 1.34 seconds          |
./spec/system/users_spec.rb[1:1:3:2:1:2]         | passed | 0.98316 seconds       |
./spec/system/users_spec.rb[1:1:3:2:2:1]         | passed | 1.44 seconds          |
./spec/system/users_spec.rb[1:1:3:2:2:2]         | passed | 0.87793 seconds       |
./spec/system/users_spec.rb[1:2:1]               | passed | 0.19404 seconds       |
./spec/system/users_spec.rb[1:2:2]               | passed | 0.46232 seconds       |
